function	reference_line	candidate_line	adjudication_class
00014_sub_608230.dartpseudo	if (((reg4 + (reg8 << 2))).f16 == reg4) {	if (reg9 == reg4) {	expression_replaced_by_the_register_holding_it
00057_sub_60b490.dartpseudo	tmp13 = smiUntag(reg5.f12);	tmp13 = smiUntag(slot3.f12);	register_named_as_parameter_slot
00057_sub_60b490.dartpseudo	tmp13 = smiUntag(reg5.f12);	tmp13 = smiUntag(slot3.f12);	register_named_as_parameter_slot
00120_sub_614694.dartpseudo	if (((((reg5 + (reg10 << 2))).f16 >> 0) & 1) == 0) {	if (((reg12 >> 0) & 1) == 0) {	expression_replaced_by_the_register_holding_it
00120_sub_614694.dartpseudo	if (((((reg5 + (reg10 << 2))).f16 >> 0) & 1) == 0) {	if (((reg12 >> 0) & 1) == 0) {	expression_replaced_by_the_register_holding_it
00219_sub_62bdc8.dartpseudo	if (!(reg0 != 6)) {	else {	line_replaced_by_structural_or_comment_line
00266_sub_631108.dartpseudo	((reg2 + (reg10 << 2))).f24 = (((reg4.f8 + (reg10 << 2))).f0 & (((~((reg5.f8 + (reg10 << 2))).f0)) & 0xffffffff));	((reg2 + (reg10 << 2))).f24 = reg12;	expression_replaced_by_the_register_holding_it
00267_sub_6312f8.dartpseudo	((reg3 + (reg8 << 2))).f24 = (((reg2.f8 + (reg8 << 2))).f0 & ((reg5.f8 + (reg8 << 2))).f0);	((reg3 + (reg8 << 2))).f24 = reg10;	expression_replaced_by_the_register_holding_it
00268_sub_631470.dartpseudo	((reg3 + (reg9 << 2))).f24 = (((((reg2.f8 + (reg9 << 2))).f0 & 0xffffffff) | (((reg4.f8 + (reg9 << 2))).f0 & 0xffffffff)) & 0xffffffff);	((reg3 + (reg9 << 2))).f24 = reg11;	expression_replaced_by_the_register_holding_it
00372_sub_63c3a0.dartpseudo	if ((reg6 - reg4) >= reg5) {	if ((slot4 - reg4) >= slot3) {	register_named_as_parameter_slot
00382_sub_63ef94.dartpseudo	if (((((reg15 + (signExtend((reg4.f20 - 2), 32) << 2))).f8 >> 0) & 1) == 0) {	if (((reg1 >> 0) & 1) == 0) {	expression_replaced_by_the_register_holding_it
00998_sub_6a86c8.dartpseudo	final t5 = sub_62e4f0(reg3.f8, smiUntag(reg0.f12), reg3, smiUntag(reg0.f12));	final t1 = sub_62e4f0(slot2.f8, smiUntag(slot1.f12), slot2, smiUntag(slot1.f12));	register_named_as_parameter_slot
01058_sub_6b17b4.dartpseudo	if (((reg1 - reg0) + reg2) <= reg6) {	if (((reg1 - reg0) + tmp3) <= reg6) {	other
01184_sub_6c3e8c.dartpseudo	reg2.f32 = ((reg3 + (reg5 << 2))).f16;	reg2.f32 = reg0;	expression_replaced_by_the_register_holding_it
01551_sub_7781e4.dartpseudo	t16.f8 = reg2;	t16.f8 = (tmp3 + (tmp1 - 1));	other
01975_sub_805ac8.dartpseudo	if ((((((reg2.f16 + (reg5 << 2))).f16).f24 >> 4) & 1) != 0) {	if (((reg5 >> 4) & 1) != 0) {	expression_replaced_by_the_register_holding_it
02044_sub_8132fc.dartpseudo	reg3.f24 = signExtend((signExtend(signExtend(reg3.f24, 32), 32) | reg5.f8), 32);	reg3.f24 = reg5;	expression_replaced_by_the_register_holding_it
02044_sub_8132fc.dartpseudo	reg3.f24 = signExtend((signExtend(signExtend(reg3.f24, 32), 32) | reg5.f8), 32);	reg3.f24 = reg5;	expression_replaced_by_the_register_holding_it
02044_sub_8132fc.dartpseudo	reg3.f24 = signExtend((signExtend(signExtend(reg3.f24, 32), 32) | reg5.f8), 32);	reg3.f24 = reg5;	expression_replaced_by_the_register_holding_it
02044_sub_8132fc.dartpseudo	reg3.f24 = signExtend((signExtend(signExtend(reg3.f24, 32), 32) | reg5.f8), 32);	reg3.f24 = reg5;	expression_replaced_by_the_register_holding_it
02044_sub_8132fc.dartpseudo	reg3.f24 = signExtend((signExtend(signExtend(reg3.f24, 32), 32) | reg5.f8), 32);	reg3.f24 = reg5;	expression_replaced_by_the_register_holding_it
