old_oid	post_repair_oid	citation	disposition
61e89fdf915f62e97a32df21385ee151a05690e6	be38db284e3b57eadbc906d92a4533a9e22cdb6b	docs/baseline-ir-cfg-emitter.md:403:  for 33 minutes 29 seconds, until `61e89fd`. No run recorded here touches that	retained-as-pre-repair-provenance
61e89fdf915f62e97a32df21385ee151a05690e6	be38db284e3b57eadbc906d92a4533a9e22cdb6b	docs/oracle-protocol-ir-cfg-emitter.md:695:| `61e89fd` | intermediate | `675099447f611dcfc89cd26046ba6e6a7fd04f3ff94be54113e3c787ed21e412` |	retained-as-pre-repair-provenance
61e89fdf915f62e97a32df21385ee151a05690e6	be38db284e3b57eadbc906d92a4533a9e22cdb6b	docs/oracle-protocol-ir-cfg-emitter.md:715:`1371e42` to `61e89fd`, digest `9d994285...` to `675099447f...`. Adds a clippy	retained-as-pre-repair-provenance
61e89fdf915f62e97a32df21385ee151a05690e6	be38db284e3b57eadbc906d92a4533a9e22cdb6b	docs/oracle-protocol-ir-cfg-emitter.md:717:paragraph explaining why they are needed. From `61e89fd` onward the harness is	retained-as-pre-repair-provenance
61e89fdf915f62e97a32df21385ee151a05690e6	be38db284e3b57eadbc906d92a4533a9e22cdb6b	docs/oracle-protocol-ir-cfg-emitter.md:730:`61e89fd` to `5bf6595`, digest `675099447f...` to `6ee0cdf976...`. Adds	retained-as-pre-repair-provenance
61e89fdf915f62e97a32df21385ee151a05690e6	be38db284e3b57eadbc906d92a4533a9e22cdb6b	docs/oracle-protocol-ir-cfg-emitter.md:815:   harness commits `61e89fd`, `5bf6595`, and `5f6a39f`, rather than landing as a	retained-as-pre-repair-provenance
61e89fdf915f62e97a32df21385ee151a05690e6	be38db284e3b57eadbc906d92a4533a9e22cdb6b	docs/research-ir-cfg-emitter.md:940:`61e89fd`.	retained-as-pre-repair-provenance
61e89fdf915f62e97a32df21385ee151a05690e6	be38db284e3b57eadbc906d92a4533a9e22cdb6b	docs/research-ir-cfg-emitter.md:1008:| `61e89fd` | 2026-08-18T05:32:32Z | closed: `exclude = ["crates/flutterdec-bench"]` |	retained-as-pre-repair-provenance
61e89fdf915f62e97a32df21385ee151a05690e6	be38db284e3b57eadbc906d92a4533a9e22cdb6b	docs/research-ir-cfg-emitter.md:1010:Elapsed 33 minutes 29 seconds. `4e8a9b2` is the parent of `61e89fd`	retained-as-pre-repair-provenance
61e89fdf915f62e97a32df21385ee151a05690e6	be38db284e3b57eadbc906d92a4533a9e22cdb6b	docs/research-ir-cfg-emitter.md:1011:(`git rev-parse 61e89fd^` is `4e8a9b2`), so the affected set is exactly one	retained-as-pre-repair-provenance
